two_theta_deg,TiO2,Nb2-TiO2,Nb5-TiO2
17.15,199,197,181
17.20,199,167,169
17.25,184,195,173
17.30,177,162,171
17.35,198,159,191
17.40,167,173,166
17.45,163,199,174
17.50,154,160,186
17.55,174,173,160
17.60,164,191,159
17.65,180,165,173
17.70,164,161,131
17.75,158,145,168
17.80,188,172,155
17.85,157,145,141
17.90,159,158,164
17.95,147,170,189
18.00,171,157,170
18.05,187,174,157
18.10,183,152,161
18.15,158,167,168
18.20,147,164,164
18.25,169,149,181
18.30,168,154,149
18.35,144,171,169
18.40,160,166,163
18.45,158,162,173
18.50,164,172,151
18.55,146,151,161
18.60,138,160,141
18.65,145,148,148
18.70,166,156,158
18.75,155,165,163
18.80,142,162,156
18.85,139,156,155
18.90,118,156,156
18.95,142,139,154
19.00,164,146,138
19.05,151,151,157
19.10,149,136,166
19.15,151,142,159
19.20,138,117,156
19.25,149,158,140
19.30,128,140,154
19.35,123,133,146
19.40,141,167,147
19.45,166,132,149
19.50,120,136,152
19.55,137,137,135
19.60,145,164,135
19.65,173,119,147
19.70,136,140,169
19.75,146,153,135
19.80,144,112,158
19.85,142,135,144
19.90,140,124,144
19.95,177,118,144
20.00,132,134,136
20.05,151,144,150
20.10,148,146,138
20.15,144,125,138
20.20,123,154,126
20.25,138,134,138
20.30,157,126,149
20.35,113,161,138
20.40,122,133,139
20.45,117,115,131
20.50,129,152,152
20.55,139,117,116
20.60,133,134,142
20.65,131,128,120
20.70,126,133,125
20.75,102,130,121
20.80,137,134,136
20.85,134,120,125
20.90,130,103,128
20.95,127,143,125
21.00,124,114,138
21.05,127,122,150
21.10,117,140,116
21.15,105,133,118
21.20,138,118,131
21.25,142,114,127
21.30,109,131,121
21.35,126,135,125
21.40,104,123,133
21.45,129,125,139
21.50,142,119,104
21.55,116,137,124
21.60,131,108,152
21.65,127,130,126
21.70,122,119,146
21.75,114,129,116
21.80,107,118,122
21.85,119,130,121
21.90,111,131,128
21.95,109,127,116
22.00,121,138,110
22.05,106,125,109
22.10,112,120,123
22.15,111,129,96
22.20,103,104,106
22.25,125,109,129
22.30,123,123,121
22.35,106,102,117
22.40,122,129,107
22.45,117,120,109
22.50,133,116,92
22.55,125,122,132
22.60,125,114,124
22.65,126,127,126
22.70,132,119,129
22.75,122,104,128
22.80,105,124,126
22.85,116,121,110
22.90,115,121,118
22.95,108,102,137
23.00,116,111,116
23.05,112,121,130
23.10,132,109,101
23.15,105,127,135
23.20,112,123,119
23.25,113,113,131
23.30,106,110,137
23.35,128,125,121
23.40,113,121,113
23.45,130,116,98
23.50,110,114,123
23.55,103,131,134
23.60,105,124,131
23.65,115,108,133
23.70,115,113,98
23.75,104,122,126
23.80,123,114,111
23.85,114,106,124
23.90,110,125,136
23.95,117,109,132
24.00,118,121,111
24.05,114,124,127
24.10,135,122,125
24.15,104,132,122
24.20,132,117,126
24.25,118,131,167
24.30,142,134,161
24.35,123,120,157
24.40,104,151,143
24.45,118,133,196
24.50,147,157,178
24.55,141,152,187
24.60,133,152,209
24.65,142,189,245
24.70,172,185,263
24.75,173,230,354
24.80,181,270,402
24.85,220,331,461
24.90,253,387,579
24.95,318,479,612
25.00,387,585,689
25.05,554,743,802
25.10,769,895,845
25.15,920,979,867
25.20,1123,1090,926
25.25,1297,1088,865
25.30,1308,985,755
25.35,1150,876,685
25.40,961,706,552
25.45,784,592,466
25.50,583,521,443
25.55,438,337,358
25.60,302,276,325
25.65,271,251,256
25.70,216,204,223
25.75,200,163,185
25.80,179,150,165
25.85,139,161,162
25.90,163,149,147
25.95,132,134,130
26.00,119,140,140
26.05,115,129,111
26.10,124,135,141
26.15,104,117,123
26.20,115,121,128
26.25,102,107,120
26.30,99,113,106
26.35,94,110,125
26.40,94,105,119
26.45,91,101,117
26.50,101,109,121
26.55,112,109,103
26.60,89,112,106
26.65,96,102,96
26.70,104,95,96
26.75,91,114,100
26.80,99,84,107
26.85,108,112,112
26.90,93,90,111
26.95,78,84,92
27.00,82,93,113
27.05,99,99,94
27.10,83,90,123
27.15,84,99,124
27.20,100,80,139
27.25,76,93,164
27.30,89,97,198
27.35,95,96,265
27.40,78,85,284
27.45,80,87,320
27.50,77,78,250
27.55,70,89,206
27.60,84,88,187
27.65,85,83,143
27.70,81,90,131
27.75,75,70,120
27.80,81,95,100
27.85,92,88,104
27.90,88,87,88
27.95,96,86,99
28.00,86,86,95
28.05,78,79,84
28.10,73,88,83
28.15,69,94,90
28.20,79,84,86
28.25,88,79,83
28.30,79,96,80
28.35,90,94,79
28.40,87,94,77
28.45,79,72,74
28.50,74,94,88
28.55,72,86,81
28.60,72,75,89
28.65,86,73,78
28.70,69,62,92
28.75,68,88,67
28.80,67,84,76
28.85,70,73,73
28.90,93,81,74
28.95,81,71,74
29.00,76,77,81
29.05,85,83,82
29.10,76,79,78
29.15,73,85,69
29.20,57,77,98
29.25,73,91,73
29.30,60,80,74
29.35,74,75,76
29.40,85,72,74
29.45,75,68,97
29.50,75,81,70
29.55,77,71,74
29.60,71,68,81
29.65,73,68,68
29.70,64,71,60
29.75,66,75,60
29.80,84,75,73
29.85,62,82,81
29.90,81,67,86
29.95,75,65,69
30.00,72,67,61
30.05,83,93,79
30.10,60,73,72
30.15,64,73,67
30.20,61,61,61
30.25,71,73,72
30.30,81,71,72
30.35,67,75,80
30.40,66,65,74
30.45,84,86,88
30.50,83,81,72
30.55,79,74,67
30.60,64,64,70
30.65,62,69,74
30.70,67,77,80
30.75,63,64,78
30.80,76,77,74
30.85,81,68,86
30.90,63,79,65
30.95,63,79,74
31.00,77,76,57
31.05,69,67,73
31.10,65,62,89
31.15,67,59,70
31.20,72,73,77
31.25,62,61,78
31.30,57,68,65
31.35,73,80,63
31.40,69,72,78
31.45,65,64,54
31.50,68,68,51
31.55,64,68,54
31.60,66,73,70
31.65,83,56,73
31.70,79,53,74
31.75,73,78,77
31.80,78,83,56
31.85,75,80,70
31.90,58,73,62
31.95,75,67,71
32.00,53,76,73
32.05,57,64,66
32.10,72,64,59
32.15,50,63,74
32.20,63,53,64
32.25,62,54,71
32.30,58,64,65
32.35,74,80,65
32.40,56,60,74
32.45,74,77,69
32.50,57,59,62
32.55,57,79,73
32.60,63,75,66
32.65,53,61,70
32.70,61,64,86
32.75,60,72,62
32.80,60,71,70
32.85,57,71,77
32.90,70,56,71
32.95,48,68,74
33.00,63,65,72
33.05,51,57,66
33.10,56,66,66
33.15,59,73,66
33.20,66,58,67
33.25,51,75,56
33.30,55,65,64
33.35,61,66,54
33.40,63,52,44
33.45,66,65,80
33.50,71,63,74
33.55,55,70,66
33.60,71,63,59
33.65,61,62,44
33.70,56,78,57
33.75,59,68,72
33.80,54,59,82
33.85,72,73,60
33.90,58,66,72
33.95,69,53,58
34.00,83,48,64
34.05,63,68,68
34.10,62,68,66
34.15,55,61,54
34.20,79,73,66
34.25,61,58,68
34.30,63,70,65
34.35,70,65,70
34.40,74,55,59
34.45,57,64,56
34.50,58,58,82
34.55,75,57,56
34.60,63,65,65
34.65,68,74,64
34.70,66,73,77
34.75,58,78,54
34.80,51,63,70
34.85,77,60,64
34.90,61,71,61
34.95,52,66,50
35.00,61,50,63
35.05,62,54,69
35.10,44,63,64
35.15,72,60,65
35.20,61,60,75
35.25,52,62,63
35.30,72,85,60
35.35,67,50,57
35.40,55,42,66
35.45,66,55,65
35.50,49,54,79
35.55,51,59,69
35.60,61,68,65
35.65,60,63,62
35.70,46,61,59
35.75,72,65,72
35.80,73,54,77
35.85,57,66,78
35.90,53,67,92
35.95,51,60,95
36.00,60,59,109
36.05,44,71,129
36.10,59,64,130
36.15,58,50,125
36.20,60,69,101
36.25,50,66,83
36.30,61,61,97
36.35,61,62,85
36.40,68,74,102
36.45,64,71,91
36.50,67,66,102
36.55,67,84,111
36.60,88,99,128
36.65,89,83,131
36.70,87,118,133
36.75,110,152,143
36.80,141,173,141
36.85,161,144,157
36.90,171,154,139
36.95,181,149,153
37.00,182,127,121
37.05,141,126,122
37.10,134,119,126
37.15,114,126,123
37.20,116,113,106
37.25,96,102,118
37.30,87,126,116
37.35,92,109,148
37.40,83,137,142
37.45,94,134,176
37.50,110,142,165
37.55,149,186,202
37.60,197,195,201
37.65,204,251,233
37.70,267,228,238
37.75,325,238,203
37.80,271,211,183
37.85,297,239,176
37.90,241,203,155
37.95,223,177,159
38.00,176,159,150
38.05,144,136,135
38.10,104,106,140
38.15,107,109,112
38.20,98,137,135
38.25,103,115,138
38.30,97,133,130
38.35,113,137,162
38.40,127,132,147
38.45,152,175,153
38.50,171,185,131
38.55,167,151,125
38.60,172,162,113
38.65,142,137,121
38.70,143,106,114
38.75,118,112,109
38.80,99,99,107
38.85,84,83,78
38.90,91,81,77
38.95,75,77,78
39.00,70,62,65
39.05,57,59,55
39.10,62,69,64
39.15,69,71,68
39.20,59,74,54
39.25,70,68,63
39.30,80,71,43
39.35,42,62,48
39.40,63,67,58
39.45,58,71,56
39.50,66,50,45
39.55,54,75,57
39.60,61,56,50
39.65,54,58,54
39.70,45,68,58
39.75,58,52,53
39.80,47,65,48
39.85,61,53,58
39.90,55,56,62
39.95,49,51,58
40.00,55,53,55
40.05,49,56,57
40.10,38,51,74
40.15,58,49,55
40.20,70,52,58
40.25,52,48,50
40.30,65,68,48
40.35,49,41,51
40.40,51,50,45
40.45,65,53,45
40.50,63,45,46
40.55,59,49,44
40.60,49,46,57
40.65,47,49,56
40.70,67,55,54
40.75,53,70,55
40.80,45,38,51
40.85,47,58,41
40.90,57,60,53
40.95,49,51,51
41.00,59,46,47
41.05,50,53,45
41.10,47,56,57
41.15,46,49,56
41.20,39,52,53
41.25,50,42,52
41.30,46,52,49
41.35,58,59,36
41.40,56,53,34
41.45,47,44,56
41.50,44,50,44
41.55,51,54,43
41.60,53,45,54
41.65,59,43,47
41.70,56,45,45
41.75,43,51,46
41.80,55,55,59
41.85,46,54,51
41.90,60,46,61
41.95,49,52,50
42.00,33,48,65
42.05,53,57,45
42.10,54,51,55
42.15,53,53,49
42.20,39,58,41
42.25,50,48,51
42.30,58,49,48
42.35,53,47,50
42.40,47,44,52
42.45,54,68,55
42.50,45,49,53
42.55,47,40,60
42.60,43,44,58
42.65,39,52,43
42.70,43,50,41
42.75,45,54,53
42.80,56,46,61
42.85,48,53,44
42.90,52,48,40
42.95,53,45,38
43.00,49,54,52
43.05,51,42,46
43.10,62,46,57
43.15,34,40,41
43.20,48,40,54
43.25,57,66,49
43.30,59,50,47
43.35,54,53,57
43.40,48,47,36
43.45,54,45,41
43.50,38,52,36
43.55,47,40,52
43.60,59,41,27
43.65,50,63,45
43.70,49,47,50
43.75,36,43,55
43.80,56,49,38
43.85,42,63,45
43.90,56,65,43
43.95,59,52,49
44.00,45,47,55
44.05,51,49,39
44.10,40,40,42
44.15,56,39,32
44.20,39,54,33
44.25,55,47,50
44.30,43,64,44
44.35,54,43,51
44.40,48,41,50
44.45,45,54,56
44.50,49,48,53
44.55,54,41,53
44.60,58,59,51
44.65,51,51,53
44.70,58,45,37
44.75,48,49,44
44.80,32,56,55
44.85,39,59,46
44.90,47,45,57
44.95,51,38,36
45.00,45,46,54
45.05,43,55,45
45.10,43,53,50
45.15,53,44,44
45.20,51,42,52
45.25,65,48,43
45.30,48,44,51
45.35,39,58,57
45.40,56,37,52
45.45,41,48,60
45.50,52,55,44
45.55,50,41,59
45.60,41,50,62
45.65,54,62,54
45.70,48,55,39
45.75,46,43,46
45.80,27,50,59
45.85,43,48,42
45.90,48,42,39
45.95,47,37,40
46.00,58,37,55
46.05,53,49,43
46.10,48,47,43
46.15,48,51,45
46.20,36,54,63
46.25,40,57,40
46.30,61,45,53
46.35,45,53,54
46.40,50,44,55
46.45,39,41,57
46.50,38,48,48
46.55,54,41,52
46.60,49,61,46
46.65,55,47,39
46.70,59,61,51
46.75,42,54,59
46.80,49,53,43
46.85,54,52,49
46.90,54,60,62
46.95,42,58,42
47.00,37,54,70
47.05,45,63,73
47.10,48,53,68
47.15,62,47,64
47.20,49,42,69
47.25,58,66,79
47.30,52,64,87
47.35,56,68,94
47.40,65,77,100
47.45,70,68,99
47.50,59,80,130
47.55,65,87,127
47.60,83,130,164
47.65,86,133,189
47.70,105,176,237
47.75,160,208,267
47.80,173,249,293
47.85,238,318,331
47.90,315,335,312
47.95,402,368,313
48.00,457,416,268
48.05,437,360,290
48.10,416,336,258
48.15,404,274,214
48.20,300,243,186
48.25,254,197,164
48.30,181,160,151
48.35,130,117,137
48.40,117,89,111
48.45,87,91,78
48.50,88,79,71
48.55,85,75,81
48.60,69,70,84
48.65,62,66,68
48.70,73,61,69
48.75,49,47,56
48.80,48,62,56
48.85,45,52,43
48.90,57,46,53
48.95,62,59,52
49.00,55,52,63
49.05,44,68,61
49.10,47,48,52
49.15,49,61,58
49.20,45,41,58
49.25,63,61,51
49.30,37,45,47
49.35,41,55,45
49.40,54,37,44
49.45,46,45,49
49.50,49,51,53
49.55,44,55,48
49.60,51,56,46
49.65,52,45,48
49.70,42,51,46
49.75,50,48,30
49.80,34,54,41
49.85,48,42,44
49.90,50,59,39
49.95,40,51,40
50.00,50,46,47
50.05,49,40,42
50.10,51,39,49
50.15,54,45,43
50.20,39,36,57
50.25,58,36,47
50.30,43,38,43
50.35,40,38,43
50.40,34,49,58
50.45,46,42,52
50.50,59,50,49
50.55,52,54,49
50.60,44,54,52
50.65,36,35,43
50.70,42,43,59
50.75,47,37,44
50.80,47,41,54
50.85,44,59,53
50.90,43,44,40
50.95,43,42,40
51.00,47,52,58
51.05,42,53,38
51.10,54,48,45
51.15,46,41,54
51.20,41,45,48
51.25,41,53,41
51.30,46,50,58
51.35,48,51,49
51.40,41,41,50
51.45,42,53,53
51.50,47,51,44
51.55,42,55,41
51.60,50,47,48
51.65,50,28,53
51.70,44,47,49
51.75,48,37,46
51.80,46,45,48
51.85,45,48,38
51.90,46,46,45
51.95,45,48,41
52.00,39,49,50
52.05,43,46,44
52.10,58,52,50
52.15,56,51,45
52.20,46,48,56
52.25,42,37,44
52.30,41,44,47
52.35,41,37,39
52.40,40,38,50
52.45,50,43,46
52.50,40,55,43
52.55,40,40,48
52.60,32,37,70
52.65,50,55,46
52.70,58,56,47
52.75,46,50,52
52.80,45,55,50
52.85,40,46,46
52.90,50,57,47
52.95,40,52,69
53.00,49,57,47
53.05,50,60,57
53.10,48,59,59
53.15,68,54,59
53.20,50,54,66
53.25,59,71,85
53.30,52,57,86
53.35,47,75,85
53.40,51,64,90
53.45,54,105,129
53.50,71,116,151
53.55,89,124,156
53.60,102,152,182
53.65,125,207,187
53.70,150,218,179
53.75,215,233,221
53.80,237,235,225
53.85,272,250,212
53.90,292,225,182
53.95,269,201,182
54.00,225,154,176
54.05,209,138,148
54.10,148,137,116
54.15,143,104,134
54.20,98,83,136
54.25,82,79,173
54.30,86,79,198
54.35,75,75,181
54.40,70,84,149
54.45,68,71,154
54.50,62,81,144
54.55,80,75,123
54.60,77,97,127
54.65,70,97,142
54.70,102,113,176
54.75,94,151,165
54.80,115,178,170
54.85,159,178,183
54.90,192,213,205
54.95,209,271,232
55.00,280,273,173
55.05,276,243,181
55.10,264,229,177
55.15,236,179,153
55.20,195,162,134
55.25,169,123,112
55.30,121,99,110
55.35,109,81,103
55.40,73,76,68
55.45,79,55,70
55.50,69,62,56
55.55,69,65,70
55.60,59,47,53
55.65,53,64,50
55.70,44,45,52
55.75,48,41,41
55.80,50,47,54
55.85,49,56,50
55.90,69,42,54
55.95,52,51,45
56.00,55,54,69
56.05,47,56,49
56.10,38,42,58
56.15,63,52,45
56.20,49,52,56
56.25,51,49,42
56.30,46,33,48
56.35,50,48,56
56.40,52,37,44
56.45,34,51,42
56.50,41,54,57
56.55,35,57,46
56.60,46,44,43
56.65,39,43,41
56.70,60,32,52
56.75,31,44,55
56.80,57,33,35
56.85,35,43,50
56.90,56,27,38
56.95,46,55,42
57.00,32,50,53
57.05,43,45,49
57.10,40,54,44
57.15,43,43,37
57.20,41,33,48
57.25,41,48,45
57.30,43,39,42
57.35,48,42,49
57.40,41,41,36
57.45,42,35,43
57.50,36,40,48
57.55,37,53,42
57.60,46,47,44
57.65,44,38,42
57.70,37,39,48
57.75,38,44,44
57.80,46,37,39
57.85,35,29,47
57.90,56,45,39
57.95,48,34,40
58.00,37,42,28
58.05,36,43,36
58.10,42,35,47
58.15,32,44,27
58.20,38,44,40
58.25,26,28,40
58.30,39,45,50
58.35,44,62,35
58.40,27,38,40
58.45,54,53,42
58.50,32,42,52
58.55,41,49,42
58.60,34,41,46
58.65,44,35,47
58.70,38,42,29
58.75,43,43,39
58.80,44,34,33
58.85,49,44,31
58.90,51,42,42
58.95,52,41,44
59.00,51,41,40
59.05,47,50,39
59.10,33,49,45
59.15,48,35,40
59.20,38,55,44
59.25,56,32,44
59.30,55,36,32
59.35,38,48,33
59.40,45,34,41
59.45,48,35,44
59.50,46,42,41
59.55,38,38,40
59.60,31,36,45
59.65,49,58,49
59.70,37,34,41
59.75,43,40,26
59.80,51,40,34
59.85,49,46,38
59.90,32,57,47
59.95,34,36,40
60.00,33,45,39
60.05,47,33,43
60.10,35,36,52
60.15,31,41,38
60.20,40,29,37
60.25,47,44,38
60.30,39,51,36
60.35,48,58,41
60.40,47,35,42
60.45,44,36,43
60.50,35,47,46
60.55,37,42,36
60.60,34,52,49
60.65,43,34,43
60.70,37,54,48
60.75,51,49,46
60.80,40,49,43
60.85,49,48,36
60.90,46,31,33
60.95,58,41,33
61.00,40,38,39
61.05,37,44,36
61.10,42,41,47
61.15,39,42,40
61.20,34,33,40
61.25,52,43,31
61.30,39,43,34
61.35,57,55,46
61.40,49,33,32
61.45,45,52,56
61.50,35,43,37
61.55,42,44,45
61.60,32,50,47
61.65,36,37,45
61.70,48,42,48
61.75,45,48,47
61.80,39,38,42
61.85,38,30,42
61.90,43,52,39
61.95,38,56,60
62.00,50,53,59
62.05,62,49,71
62.10,61,50,57
62.15,45,64,64
62.20,57,56,92
62.25,67,72,86
62.30,53,75,98
62.35,78,91,126
62.40,71,108,135
62.45,123,127,132
62.50,134,138,132
62.55,183,188,159
62.60,182,183,147
62.65,190,188,128
62.70,208,173,111
62.75,191,163,136
62.80,170,132,126
62.85,120,107,110
62.90,94,77,93
62.95,98,78,71
63.00,79,66,74
63.05,68,59,76
63.10,62,55,47
63.15,51,56,51
63.20,61,51,60
63.25,67,58,39
63.30,51,50,54
63.35,55,40,37
63.40,52,45,54
63.45,43,53,50
63.50,34,38,52
63.55,51,49,46
63.60,43,49,47
63.65,47,40,38
63.70,44,49,53
63.75,39,44,37
63.80,40,49,43
63.85,40,44,42
63.90,44,42,28
63.95,53,27,48
64.00,53,47,30
64.05,42,50,37
64.10,38,45,46
64.15,44,42,40
64.20,54,50,34
64.25,40,56,45
64.30,29,48,38
64.35,37,43,39
64.40,28,35,42
64.45,39,39,29
64.50,30,46,37
64.55,38,39,42
64.60,41,38,43
64.65,45,40,52
64.70,34,51,46
64.75,34,45,29
64.80,44,46,31
64.85,44,40,51
64.90,40,40,37
64.95,38,43,42
65.00,37,46,53
65.05,28,44,42
65.10,45,40,47
65.15,34,56,35
65.20,36,43,44
65.25,41,36,47
65.30,40,54,52
65.35,37,36,31
65.40,48,40,53
65.45,30,51,47
65.50,38,35,44
65.55,41,45,41
65.60,33,34,50
65.65,40,45,48
65.70,40,38,39
65.75,52,45,53
65.80,41,35,34
65.85,44,40,47
65.90,48,37,38
65.95,39,47,38
66.00,51,42,50
66.05,50,38,52
66.10,47,46,41
66.15,40,41,47
66.20,50,33,40
66.25,31,42,27
66.30,59,42,36
66.35,47,46,50
66.40,45,43,48
66.45,32,43,49
66.50,50,45,39
66.55,33,43,38
66.60,40,33,45
66.65,37,36,37
66.70,45,42,42
66.75,33,44,41
66.80,39,40,51
66.85,37,47,47
66.90,39,37,42
66.95,41,39,34
67.00,33,46,46
67.05,38,37,45
67.10,40,38,42
67.15,42,41,49
67.20,31,47,35
67.25,41,54,47
67.30,30,42,40
67.35,44,42,49
67.40,41,30,48
67.45,44,37,42
67.50,42,39,36
67.55,40,41,45
67.60,42,32,48
67.65,42,40,32
67.70,45,49,52
67.75,34,36,42
67.80,43,46,49
67.85,34,43,37
67.90,46,41,58
67.95,59,46,53
68.00,36,47,37
68.05,37,38,26
68.10,43,46,39
68.15,50,56,48
68.20,55,46,57
68.25,53,37,46
68.30,59,42,66
68.35,64,54,69
68.40,47,65,71
68.45,43,52,62
68.50,63,76,73
68.55,83,95,85
68.60,77,100,105
68.65,84,109,81
68.70,112,106,84
68.75,114,87,93
68.80,99,111,63
68.85,110,82,65
68.90,78,64,61
68.95,78,79,55
69.00,66,69,62
69.05,62,73,55
69.10,52,51,52
69.15,46,40,55
69.20,48,54,47
69.25,40,46,44
69.30,45,47,51
69.35,39,53,44
69.40,48,42,47
69.45,42,49,46
69.50,49,44,41
69.55,48,46,61
69.60,34,46,45
69.65,51,54,48
69.70,44,44,51
69.75,47,64,48
69.80,45,53,41
69.85,50,45,70
69.90,48,48,58
69.95,53,54,73
70.00,51,58,69
70.05,67,60,64
70.10,74,75,95
70.15,90,76,88
70.20,96,98,88
70.25,98,92,94
70.30,128,104,79
70.35,100,100,82
70.40,86,77,65
70.45,85,72,52
70.50,70,65,69
70.55,66,67,49
70.60,66,63,57
70.65,69,47,47
70.70,48,39,54
70.75,39,52,40
70.80,46,58,61
70.85,37,43,50
70.90,49,44,45
70.95,48,47,38
71.00,34,39,53
71.05,42,48,47
71.10,41,40,40
71.15,47,42,39
71.20,35,42,43
71.25,48,40,43
71.30,34,40,44
71.35,36,39,39
71.40,50,32,32
71.45,51,29,43
71.50,43,35,52
71.55,41,42,44
71.60,51,56,44
71.65,40,33,43
71.70,44,46,45
71.75,41,45,42
71.80,41,43,33
71.85,39,48,35
71.90,39,34,46
71.95,34,44,40
72.00,28,50,39
72.05,42,51,41
72.10,40,39,37
72.15,40,53,37
72.20,53,48,34
72.25,30,45,47
72.30,45,35,49
72.35,40,45,52
72.40,45,44,42
72.45,31,42,40
72.50,41,43,48
72.55,40,32,39
72.60,29,34,41
72.65,48,32,44
72.70,47,32,39
72.75,35,51,46
72.80,33,35,39
72.85,49,32,45
72.90,42,51,43
72.95,32,48,43
73.00,41,31,32
73.05,33,43,31
73.10,33,40,53
73.15,45,54,36
73.20,41,53,50
73.25,54,41,49
73.30,43,43,45
73.35,45,38,43
73.40,55,49,49
73.45,42,45,41
73.50,53,41,36
73.55,54,46,40
73.60,34,44,45
73.65,53,40,31
73.70,38,46,40
73.75,34,45,50
73.80,49,36,50
73.85,44,50,48
73.90,37,45,32
73.95,50,40,54
74.00,45,38,40
74.05,36,45,54
74.10,32,49,54
74.15,49,55,49
74.20,60,53,52
74.25,35,44,52
74.30,36,44,52
74.35,35,43,47
74.40,41,41,71
74.45,47,43,46
74.50,57,53,66
74.55,39,52,55
74.60,62,56,74
74.65,40,68,107
74.70,70,92,108
74.75,92,101,89
74.80,83,107,114
74.85,105,106,105
74.90,125,132,122
74.95,141,136,123
75.00,160,137,137
75.05,150,139,120
75.10,131,111,87
75.15,118,91,85
75.20,94,94,98
75.25,99,79,76
75.30,80,70,64
75.35,48,49,57
75.40,65,68,54
75.45,45,57,52
75.50,36,42,44
75.55,51,45,57
75.60,39,41,46
75.65,53,50,43
75.70,37,49,57
75.75,50,45,43
75.80,55,40,43
75.85,35,40,43
75.90,42,47,48
75.95,40,38,41
76.00,37,39,48
76.05,47,37,49
76.10,48,37,45
76.15,39,44,44
76.20,58,37,47
76.25,42,51,39
76.30,51,39,50
76.35,40,56,35
76.40,41,37,32
76.45,42,45,56
76.50,36,59,40
76.55,43,33,38
76.60,47,34,55
76.65,46,43,38
76.70,31,49,44
76.75,46,43,33
76.80,49,34,47
76.85,51,48,43
76.90,32,32,51
76.95,45,26,39
77.00,41,46,37
77.05,37,46,38
77.10,45,42,56
77.15,51,34,34
77.20,48,45,48
77.25,39,39,40
77.30,42,22,30
77.35,46,49,36
77.40,38,46,49
77.45,49,40,38
77.50,49,43,33
77.55,45,40,39
77.60,37,37,38
77.65,47,28,56
77.70,54,43,47
77.75,46,38,43
77.80,43,35,48
77.85,47,40,33
77.90,40,37,30
77.95,40,42,35
78.00,34,38,55
78.05,40,49,34
78.10,42,37,46
78.15,33,39,36
78.20,33,39,44
78.25,49,48,25
78.30,38,39,39
78.35,32,30,32
78.40,39,28,38
78.45,49,34,52
78.50,42,33,43
78.55,44,37,25
78.60,42,42,21
78.65,36,38,39
78.70,38,46,41
78.75,55,37,43
78.80,47,27,43
78.85,45,44,38
78.90,42,42,31
78.95,37,40,42
79.00,34,36,29
79.05,31,45,42
79.10,29,39,28
79.15,46,45,35
79.20,45,42,51
79.25,43,51,34
79.30,40,55,34
79.35,52,38,42
79.40,59,42,37
79.45,52,37,45
79.50,43,51,41
79.55,34,43,43
