scan_rate_mV_s,potential_V_vs_RHE,current_mA
10,1.2840,0.0145
10,1.2860,0.0213
10,1.2880,0.0293
10,1.2900,0.0291
10,1.2920,0.0318
10,1.2940,0.0296
10,1.2960,0.0273
10,1.2980,0.0278
10,1.3000,0.0336
10,1.3020,0.0317
10,1.3040,0.0257
10,1.3060,0.0359
10,1.3080,0.0320
10,1.3100,0.0471
10,1.3120,0.0510
10,1.3140,0.0563
10,1.3160,0.0668
10,1.3180,0.0695
10,1.3200,0.0871
10,1.3220,0.1021
10,1.3240,0.1230
10,1.3260,0.1432
10,1.3280,0.1697
10,1.3300,0.1988
10,1.3320,0.2255
10,1.3340,0.2640
10,1.3360,0.3163
10,1.3380,0.3564
10,1.3400,0.4126
10,1.3420,0.4754
10,1.3440,0.5354
10,1.3460,0.6153
10,1.3480,0.6780
10,1.3500,0.7591
10,1.3520,0.8376
10,1.3540,0.9368
10,1.3560,1.0224
10,1.3580,1.1188
10,1.3600,1.2114
10,1.3620,1.3117
10,1.3640,1.3951
10,1.3660,1.4789
10,1.3680,1.5620
10,1.3700,1.6444
10,1.3720,1.7038
10,1.3740,1.7712
10,1.3760,1.8193
10,1.3780,1.8633
10,1.3800,1.9024
10,1.3820,1.9124
10,1.3840,1.9205
10,1.3860,1.9194
10,1.3880,1.8915
10,1.3900,1.8678
10,1.3920,1.8208
10,1.3940,1.7742
10,1.3960,1.7099
10,1.3980,1.6455
10,1.4000,1.5638
10,1.4020,1.4828
10,1.4040,1.3990
10,1.4060,1.3021
10,1.4080,1.2152
10,1.4100,1.1197
10,1.4120,1.0282
10,1.4140,0.9312
10,1.4160,0.8472
10,1.4180,0.7629
10,1.4200,0.6855
10,1.4220,0.6120
10,1.4240,0.5417
10,1.4260,0.4758
10,1.4280,0.4122
10,1.4300,0.3591
10,1.4320,0.3150
10,1.4340,0.2657
10,1.4360,0.2311
10,1.4380,0.1990
10,1.4400,0.1724
10,1.4420,0.1480
10,1.4440,0.1199
10,1.4460,0.1091
10,1.4480,0.0837
10,1.4500,0.0760
10,1.4520,0.0718
10,1.4540,0.0583
10,1.4560,0.0541
10,1.4580,0.0568
10,1.4600,0.0414
10,1.4620,0.0379
10,1.4640,0.0275
10,1.4660,0.0351
10,1.4680,0.0379
10,1.4700,0.0318
10,1.4720,0.0305
10,1.4740,0.0415
10,1.4760,0.0300
10,1.4780,0.0299
10,1.4800,0.0297
10,1.4820,0.0253
10,1.4840,0.0327
10,1.4860,0.0351
10,1.4880,0.0348
10,1.4900,0.0342
10,1.4920,0.0284
10,1.4940,0.0301
10,1.4960,0.0439
10,1.4980,0.0284
10,1.5000,0.0285
10,1.5020,0.0348
10,1.5040,0.0298
10,1.5060,0.0318
10,1.5080,0.0318
10,1.5100,0.0341
10,1.5120,0.0391
10,1.5140,0.0441
10,1.5160,0.0430
10,1.5180,0.0469
10,1.5200,0.0438
10,1.5220,0.0363
10,1.5240,0.0456
10,1.5260,0.0436
10,1.5280,0.0534
10,1.5300,0.0566
10,1.5320,0.0544
10,1.5340,0.0586
10,1.5360,0.0642
10,1.5380,0.0692
10,1.5400,0.0645
10,1.5420,0.0743
10,1.5440,0.0719
10,1.5460,0.0810
10,1.5480,0.0707
10,1.5500,0.0837
10,1.5520,0.0913
10,1.5540,0.0894
10,1.5560,0.0894
10,1.5580,0.1000
10,1.5600,0.1094
10,1.5620,0.1184
10,1.5640,0.1256
10,1.5660,0.1301
10,1.5680,0.1315
10,1.5700,0.1412
10,1.5720,0.1562
10,1.5740,0.1669
10,1.5760,0.1735
10,1.5780,0.1912
10,1.5800,0.1921
10,1.5820,0.2064
10,1.5840,0.2200
10,1.5860,0.2320
10,1.5880,0.2420
10,1.5900,0.2575
10,1.5920,0.2797
10,1.5940,0.2990
10,1.5960,0.3236
10,1.5980,0.3369
10,1.6000,0.3473
10,1.5980,0.2870
10,1.5960,0.2657
10,1.5940,0.2496
10,1.5920,0.2375
10,1.5900,0.2202
10,1.5880,0.2046
10,1.5860,0.1832
10,1.5840,0.1738
10,1.5820,0.1624
10,1.5800,0.1590
10,1.5780,0.1449
10,1.5760,0.1284
10,1.5740,0.1229
10,1.5720,0.1108
10,1.5700,0.1006
10,1.5680,0.0924
10,1.5660,0.0792
10,1.5640,0.0856
10,1.5620,0.0733
10,1.5600,0.0619
10,1.5580,0.0591
10,1.5560,0.0532
10,1.5540,0.0499
10,1.5520,0.0439
10,1.5500,0.0480
10,1.5480,0.0306
10,1.5460,0.0378
10,1.5440,0.0295
10,1.5420,0.0305
10,1.5400,0.0214
10,1.5380,0.0166
10,1.5360,0.0186
10,1.5340,0.0238
10,1.5320,0.0080
10,1.5300,0.0136
10,1.5280,0.0143
10,1.5260,0.0086
10,1.5240,0.0043
10,1.5220,0.0112
10,1.5200,0.0017
10,1.5180,0.0032
10,1.5160,-0.0005
10,1.5140,-0.0006
10,1.5120,-0.0060
10,1.5100,-0.0081
10,1.5080,-0.0012
10,1.5060,-0.0070
10,1.5040,-0.0059
10,1.5020,-0.0136
10,1.5000,-0.0061
10,1.4980,-0.0053
10,1.4960,-0.0107
10,1.4940,-0.0185
10,1.4920,-0.0096
10,1.4900,-0.0199
10,1.4880,-0.0116
10,1.4860,-0.0110
10,1.4840,-0.0200
10,1.4820,-0.0182
10,1.4800,-0.0214
10,1.4780,-0.0198
10,1.4760,-0.0224
10,1.4740,-0.0238
10,1.4720,-0.0243
10,1.4700,-0.0150
10,1.4680,-0.0171
10,1.4660,-0.0138
10,1.4640,-0.0198
10,1.4620,-0.0131
10,1.4600,-0.0240
10,1.4580,-0.0195
10,1.4560,-0.0204
10,1.4540,-0.0242
10,1.4520,-0.0233
10,1.4500,-0.0251
10,1.4480,-0.0199
10,1.4460,-0.0232
10,1.4440,-0.0187
10,1.4420,-0.0192
10,1.4400,-0.0214
10,1.4380,-0.0236
10,1.4360,-0.0221
10,1.4340,-0.0177
10,1.4320,-0.0201
10,1.4300,-0.0225
10,1.4280,-0.0222
10,1.4260,-0.0139
10,1.4240,-0.0227
10,1.4220,-0.0222
10,1.4200,-0.0186
10,1.4180,-0.0231
10,1.4160,-0.0270
10,1.4140,-0.0247
10,1.4120,-0.0232
10,1.4100,-0.0219
10,1.4080,-0.0228
10,1.4060,-0.0259
10,1.4040,-0.0218
10,1.4020,-0.0197
10,1.4000,-0.0278
10,1.3980,-0.0146
10,1.3960,-0.0280
10,1.3940,-0.0180
10,1.3920,-0.0197
10,1.3900,-0.0214
10,1.3880,-0.0240
10,1.3860,-0.0343
10,1.3840,-0.0348
10,1.3820,-0.0326
10,1.3800,-0.0426
10,1.3780,-0.0405
10,1.3760,-0.0535
10,1.3740,-0.0611
10,1.3720,-0.0642
10,1.3700,-0.0768
10,1.3680,-0.0854
10,1.3660,-0.1035
10,1.3640,-0.1244
10,1.3620,-0.1360
10,1.3600,-0.1656
10,1.3580,-0.1884
10,1.3560,-0.2119
10,1.3540,-0.2446
10,1.3520,-0.2906
10,1.3500,-0.3320
10,1.3480,-0.3771
10,1.3460,-0.4246
10,1.3440,-0.4779
10,1.3420,-0.5438
10,1.3400,-0.6079
10,1.3380,-0.6752
10,1.3360,-0.7433
10,1.3340,-0.8092
10,1.3320,-0.8928
10,1.3300,-0.9653
10,1.3280,-1.0412
10,1.3260,-1.1046
10,1.3240,-1.1703
10,1.3220,-1.2405
10,1.3200,-1.3049
10,1.3180,-1.3562
10,1.3160,-1.4043
10,1.3140,-1.4430
10,1.3120,-1.4785
10,1.3100,-1.5066
10,1.3080,-1.5164
10,1.3060,-1.5161
10,1.3040,-1.5206
10,1.3020,-1.5018
10,1.3000,-1.4783
10,1.2980,-1.4459
10,1.2960,-1.4147
10,1.2940,-1.3519
10,1.2920,-1.3039
10,1.2900,-1.2402
10,1.2880,-1.1818
10,1.2860,-1.1088
10,1.2840,-1.0393
10,1.2820,-0.9605
10,1.2800,-0.8838
10,1.2780,-0.8128
10,1.2760,-0.7410
10,1.2740,-0.6713
10,1.2720,-0.6027
10,1.2700,-0.5421
10,1.2680,-0.4813
10,1.2660,-0.4321
10,1.2640,-0.3753
10,1.2620,-0.3338
10,1.2600,-0.2889
10,1.2580,-0.2605
10,1.2560,-0.2190
10,1.2540,-0.1848
10,1.2520,-0.1617
10,1.2500,-0.1427
10,1.2480,-0.1152
10,1.2460,-0.1070
10,1.2440,-0.0882
10,1.2420,-0.0757
10,1.2400,-0.0666
10,1.2380,-0.0524
10,1.2360,-0.0537
10,1.2340,-0.0386
10,1.2320,-0.0343
10,1.2300,-0.0342
10,1.2280,-0.0307
10,1.2260,-0.0330
10,1.2240,-0.0314
10,1.2220,-0.0246
10,1.2200,-0.0243
10,1.2180,-0.0200
10,1.2160,-0.0252
10,1.2140,-0.0209
10,1.2120,-0.0281
10,1.2100,-0.0200
10,1.2080,-0.0199
10,1.2060,-0.0191
10,1.2040,-0.0256
10,1.2020,-0.0268
10,1.2000,-0.0235
10,1.1980,-0.0219
10,1.1960,-0.0178
10,1.1940,-0.0184
10,1.1920,-0.0215
10,1.1900,-0.0324
10,1.1880,-0.0138
10,1.1860,-0.0158
10,1.1840,-0.0197
10,1.1820,-0.0187
10,1.1800,-0.0212
10,1.1780,-0.0212
10,1.1760,-0.0218
10,1.1740,-0.0240
10,1.1720,-0.0142
10,1.1700,-0.0269
10,1.1680,-0.0206
10,1.1660,-0.0298
10,1.1640,-0.0198
10,1.1620,-0.0198
10,1.1600,-0.0269
10,1.1580,-0.0150
10,1.1560,-0.0210
10,1.1540,-0.0157
10,1.1520,-0.0188
10,1.1500,-0.0261
10,1.1480,-0.0248
10,1.1460,-0.0166
10,1.1440,-0.0290
10,1.1420,-0.0137
10,1.1400,-0.0179
10,1.1380,-0.0221
10,1.1360,-0.0236
10,1.1340,-0.0169
10,1.1320,-0.0294
10,1.1300,-0.0188
10,1.1280,-0.0301
10,1.1260,-0.0187
10,1.1240,-0.0194
10,1.1220,-0.0229
10,1.1200,-0.0247
10,1.1180,-0.0241
10,1.1160,-0.0203
10,1.1140,-0.0209
10,1.1120,-0.0240
10,1.1100,-0.0212
10,1.1080,-0.0209
10,1.1060,-0.0165
10,1.1040,-0.0250
10,1.1020,-0.0214
10,1.1000,-0.0282
10,1.0980,-0.0186
10,1.0960,-0.0271
10,1.0940,-0.0228
10,1.0920,-0.0199
10,1.0900,-0.0223
10,1.0880,-0.0257
10,1.0860,-0.0259
10,1.0840,-0.0187
10,1.0820,-0.0186
10,1.0800,-0.0255
10,1.0780,-0.0140
10,1.0760,-0.0246
10,1.0740,-0.0225
10,1.0720,-0.0201
10,1.0700,-0.0205
10,1.0680,-0.0213
10,1.0660,-0.0259
10,1.0640,-0.0199
10,1.0620,-0.0262
10,1.0600,-0.0255
10,1.0580,-0.0273
10,1.0560,-0.0246
10,1.0540,-0.0226
10,1.0520,-0.0221
10,1.0500,-0.0242
10,1.0480,-0.0195
10,1.0460,-0.0201
10,1.0440,-0.0210
10,1.0420,-0.0225
10,1.0400,-0.0316
10,1.0380,-0.0192
10,1.0360,-0.0258
10,1.0340,-0.0239
10,1.0320,-0.0221
10,1.0300,-0.0210
10,1.0280,-0.0232
10,1.0260,-0.0211
10,1.0240,-0.0233
10,1.0220,-0.0276
10,1.0200,-0.0248
10,1.0180,-0.0265
10,1.0160,-0.0296
10,1.0140,-0.0226
10,1.0120,-0.0202
10,1.0100,-0.0227
10,1.0080,-0.0272
10,1.0060,-0.0241
10,1.0040,-0.0205
10,1.0020,-0.0285
10,1.0000,-0.0260
20,1.0000,0.0418
20,1.0020,0.0380
20,1.0040,0.0417
20,1.0060,0.0361
20,1.0080,0.0394
20,1.0100,0.0468
20,1.0120,0.0561
20,1.0140,0.0423
20,1.0160,0.0476
20,1.0180,0.0394
20,1.0200,0.0428
20,1.0220,0.0435
20,1.0240,0.0420
20,1.0260,0.0463
20,1.0280,0.0467
20,1.0300,0.0437
20,1.0320,0.0402
20,1.0340,0.0420
20,1.0360,0.0434
20,1.0380,0.0415
20,1.0400,0.0441
20,1.0420,0.0437
20,1.0440,0.0448
20,1.0460,0.0427
20,1.0480,0.0462
20,1.0500,0.0500
20,1.0520,0.0413
20,1.0540,0.0471
20,1.0560,0.0407
20,1.0580,0.0438
20,1.0600,0.0362
20,1.0620,0.0444
20,1.0640,0.0383
20,1.0660,0.0373
20,1.0680,0.0430
20,1.0700,0.0515
20,1.0720,0.0410
20,1.0740,0.0398
20,1.0760,0.0459
20,1.0780,0.0466
20,1.0800,0.0362
20,1.0820,0.0488
20,1.0840,0.0401
20,1.0860,0.0353
20,1.0880,0.0437
20,1.0900,0.0456
20,1.0920,0.0421
20,1.0940,0.0437
20,1.0960,0.0508
20,1.0980,0.0416
20,1.1000,0.0449
20,1.1020,0.0474
20,1.1040,0.0419
20,1.1060,0.0412
20,1.1080,0.0410
20,1.1100,0.0414
20,1.1120,0.0407
20,1.1140,0.0437
20,1.1160,0.0376
20,1.1180,0.0480
20,1.1200,0.0464
20,1.1220,0.0394
20,1.1240,0.0440
20,1.1260,0.0425
20,1.1280,0.0470
20,1.1300,0.0435
20,1.1320,0.0425
20,1.1340,0.0477
20,1.1360,0.0411
20,1.1380,0.0435
20,1.1400,0.0488
20,1.1420,0.0389
20,1.1440,0.0412
20,1.1460,0.0426
20,1.1480,0.0539
20,1.1500,0.0468
20,1.1520,0.0493
20,1.1540,0.0444
20,1.1560,0.0419
20,1.1580,0.0470
20,1.1600,0.0486
20,1.1620,0.0422
20,1.1640,0.0458
20,1.1660,0.0490
20,1.1680,0.0452
20,1.1700,0.0432
20,1.1720,0.0373
20,1.1740,0.0465
20,1.1760,0.0460
20,1.1780,0.0422
20,1.1800,0.0432
20,1.1820,0.0377
20,1.1840,0.0468
20,1.1860,0.0450
20,1.1880,0.0404
20,1.1900,0.0491
20,1.1920,0.0457
20,1.1940,0.0432
20,1.1960,0.0531
20,1.1980,0.0504
20,1.2000,0.0476
20,1.2020,0.0382
20,1.2040,0.0418
20,1.2060,0.0426
20,1.2080,0.0406
20,1.2100,0.0442
20,1.2120,0.0452
20,1.2140,0.0457
20,1.2160,0.0463
20,1.2180,0.0386
20,1.2200,0.0451
20,1.2220,0.0408
20,1.2240,0.0447
20,1.2260,0.0507
20,1.2280,0.0490
20,1.2300,0.0427
20,1.2320,0.0440
20,1.2340,0.0494
20,1.2360,0.0513
20,1.2380,0.0461
20,1.2400,0.0482
20,1.2420,0.0453
20,1.2440,0.0467
20,1.2460,0.0428
20,1.2480,0.0467
20,1.2500,0.0439
20,1.2520,0.0421
20,1.2540,0.0387
20,1.2560,0.0423
20,1.2580,0.0440
20,1.2600,0.0445
20,1.2620,0.0495
20,1.2640,0.0426
20,1.2660,0.0444
20,1.2680,0.0411
20,1.2700,0.0490
20,1.2720,0.0524
20,1.2740,0.0486
20,1.2760,0.0438
20,1.2780,0.0428
20,1.2800,0.0422
20,1.2820,0.0417
20,1.2840,0.0464
20,1.2860,0.0407
20,1.2880,0.0454
20,1.2900,0.0442
20,1.2920,0.0509
20,1.2940,0.0458
20,1.2960,0.0494
20,1.2980,0.0518
20,1.3000,0.0451
20,1.3020,0.0457
20,1.3040,0.0527
20,1.3060,0.0597
20,1.3080,0.0603
20,1.3100,0.0742
20,1.3120,0.0720
20,1.3140,0.0844
20,1.3160,0.0968
20,1.3180,0.1029
20,1.3200,0.1199
20,1.3220,0.1388
20,1.3240,0.1728
20,1.3260,0.1932
20,1.3280,0.2170
20,1.3300,0.2585
20,1.3320,0.3044
20,1.3340,0.3403
20,1.3360,0.4093
20,1.3380,0.4607
20,1.3400,0.5351
20,1.3420,0.6070
20,1.3440,0.6944
20,1.3460,0.7834
20,1.3480,0.8807
20,1.3500,0.9941
20,1.3520,1.1119
20,1.3540,1.2288
20,1.3560,1.3617
20,1.3580,1.4841
20,1.3600,1.6161
20,1.3620,1.7502
20,1.3640,1.8796
20,1.3660,2.0017
20,1.3680,2.1274
20,1.3700,2.2400
20,1.3720,2.3537
20,1.3740,2.4468
20,1.3760,2.5310
20,1.3780,2.6086
20,1.3800,2.6590
20,1.3820,2.7058
20,1.3840,2.7235
20,1.3860,2.7344
20,1.3880,2.7197
20,1.3900,2.6840
20,1.3920,2.6405
20,1.3940,2.5847
20,1.3960,2.5059
20,1.3980,2.4211
20,1.4000,2.3242
20,1.4020,2.2052
20,1.4040,2.0793
20,1.4060,1.9626
20,1.4080,1.8362
20,1.4100,1.7031
20,1.4120,1.5716
20,1.4140,1.4404
20,1.4160,1.3090
20,1.4180,1.1896
20,1.4200,1.0695
20,1.4220,0.9593
20,1.4240,0.8531
20,1.4260,0.7584
20,1.4280,0.6620
20,1.4300,0.5882
20,1.4320,0.5187
20,1.4340,0.4371
20,1.4360,0.3803
20,1.4380,0.3365
20,1.4400,0.2837
20,1.4420,0.2467
20,1.4440,0.2125
20,1.4460,0.1837
20,1.4480,0.1453
20,1.4500,0.1324
20,1.4520,0.1201
20,1.4540,0.1137
20,1.4560,0.0983
20,1.4580,0.0895
20,1.4600,0.0691
20,1.4620,0.0699
20,1.4640,0.0644
20,1.4660,0.0687
20,1.4680,0.0600
20,1.4700,0.0577
20,1.4720,0.0550
20,1.4740,0.0552
20,1.4760,0.0471
20,1.4780,0.0531
20,1.4800,0.0496
20,1.4820,0.0532
20,1.4840,0.0571
20,1.4860,0.0511
20,1.4880,0.0467
20,1.4900,0.0555
20,1.4920,0.0486
20,1.4940,0.0464
20,1.4960,0.0603
20,1.4980,0.0629
20,1.5000,0.0519
20,1.5020,0.0563
20,1.5040,0.0674
20,1.5060,0.0531
20,1.5080,0.0562
20,1.5100,0.0620
20,1.5120,0.0498
20,1.5140,0.0596
20,1.5160,0.0688
20,1.5180,0.0690
20,1.5200,0.0658
20,1.5220,0.0684
20,1.5240,0.0745
20,1.5260,0.0747
20,1.5280,0.0797
20,1.5300,0.0844
20,1.5320,0.0790
20,1.5340,0.0891
20,1.5360,0.0871
20,1.5380,0.0849
20,1.5400,0.0918
20,1.5420,0.0898
20,1.5440,0.0984
20,1.5460,0.1018
20,1.5480,0.1040
20,1.5500,0.1142
20,1.5520,0.1078
20,1.5540,0.1196
20,1.5560,0.1206
20,1.5580,0.1292
20,1.5600,0.1357
20,1.5620,0.1454
20,1.5640,0.1466
20,1.5660,0.1573
20,1.5680,0.1638
20,1.5700,0.1728
20,1.5720,0.1795
20,1.5740,0.1818
20,1.5760,0.2022
20,1.5780,0.2079
20,1.5800,0.2214
20,1.5820,0.2277
20,1.5840,0.2404
20,1.5860,0.2565
20,1.5880,0.2683
20,1.5900,0.2867
20,1.5920,0.3053
20,1.5940,0.3223
20,1.5960,0.3433
20,1.5980,0.3528
20,1.6000,0.3766
20,1.5980,0.2707
20,1.5960,0.2543
20,1.5940,0.2363
20,1.5920,0.2156
20,1.5900,0.2058
20,1.5880,0.1777
20,1.5860,0.1701
20,1.5840,0.1521
20,1.5820,0.1352
20,1.5800,0.1275
20,1.5780,0.1146
20,1.5760,0.0997
20,1.5740,0.0955
20,1.5720,0.0884
20,1.5700,0.0786
20,1.5680,0.0779
20,1.5660,0.0598
20,1.5640,0.0624
20,1.5620,0.0511
20,1.5600,0.0397
20,1.5580,0.0373
20,1.5560,0.0344
20,1.5540,0.0312
20,1.5520,0.0178
20,1.5500,0.0201
20,1.5480,0.0167
20,1.5460,0.0168
20,1.5440,0.0091
20,1.5420,0.0015
20,1.5400,0.0045
20,1.5380,0.0039
20,1.5360,-0.0041
20,1.5340,-0.0109
20,1.5320,-0.0076
20,1.5300,-0.0104
20,1.5280,-0.0110
20,1.5260,-0.0183
20,1.5240,-0.0182
20,1.5220,-0.0125
20,1.5200,-0.0182
20,1.5180,-0.0270
20,1.5160,-0.0231
20,1.5140,-0.0321
20,1.5120,-0.0277
20,1.5100,-0.0292
20,1.5080,-0.0299
20,1.5060,-0.0267
20,1.5040,-0.0329
20,1.5020,-0.0379
20,1.5000,-0.0290
20,1.4980,-0.0208
20,1.4960,-0.0327
20,1.4940,-0.0307
20,1.4920,-0.0319
20,1.4900,-0.0404
20,1.4880,-0.0341
20,1.4860,-0.0361
20,1.4840,-0.0386
20,1.4820,-0.0338
20,1.4800,-0.0380
20,1.4780,-0.0456
20,1.4760,-0.0386
20,1.4740,-0.0491
20,1.4720,-0.0427
20,1.4700,-0.0428
20,1.4680,-0.0429
20,1.4660,-0.0468
20,1.4640,-0.0377
20,1.4620,-0.0352
20,1.4600,-0.0378
20,1.4580,-0.0380
20,1.4560,-0.0338
20,1.4540,-0.0464
20,1.4520,-0.0386
20,1.4500,-0.0470
20,1.4480,-0.0436
20,1.4460,-0.0431
20,1.4440,-0.0393
20,1.4420,-0.0439
20,1.4400,-0.0363
20,1.4380,-0.0438
20,1.4360,-0.0421
20,1.4340,-0.0438
20,1.4320,-0.0459
20,1.4300,-0.0449
20,1.4280,-0.0448
20,1.4260,-0.0399
20,1.4240,-0.0415
20,1.4220,-0.0467
20,1.4200,-0.0414
20,1.4180,-0.0445
20,1.4160,-0.0442
20,1.4140,-0.0403
20,1.4120,-0.0443
20,1.4100,-0.0399
20,1.4080,-0.0469
20,1.4060,-0.0466
20,1.4040,-0.0425
20,1.4020,-0.0472
20,1.4000,-0.0424
20,1.3980,-0.0501
20,1.3960,-0.0457
20,1.3940,-0.0482
20,1.3920,-0.0515
20,1.3900,-0.0462
20,1.3880,-0.0494
20,1.3860,-0.0571
20,1.3840,-0.0600
20,1.3820,-0.0549
20,1.3800,-0.0660
20,1.3780,-0.0722
20,1.3760,-0.0738
20,1.3740,-0.0760
20,1.3720,-0.0953
20,1.3700,-0.1040
20,1.3680,-0.1158
20,1.3660,-0.1425
20,1.3640,-0.1553
20,1.3620,-0.1846
20,1.3600,-0.2144
20,1.3580,-0.2448
20,1.3560,-0.2827
20,1.3540,-0.3269
20,1.3520,-0.3797
20,1.3500,-0.4335
20,1.3480,-0.4970
20,1.3460,-0.5621
20,1.3440,-0.6350
20,1.3420,-0.7135
20,1.3400,-0.7935
20,1.3380,-0.8867
20,1.3360,-0.9812
20,1.3340,-1.0792
20,1.3320,-1.1841
20,1.3300,-1.2798
20,1.3280,-1.3918
20,1.3260,-1.4845
20,1.3240,-1.5899
20,1.3220,-1.6841
20,1.3200,-1.7739
20,1.3180,-1.8637
20,1.3160,-1.9470
20,1.3140,-2.0134
20,1.3120,-2.0654
20,1.3100,-2.1099
20,1.3080,-2.1504
20,1.3060,-2.1598
20,1.3040,-2.1719
20,1.3020,-2.1567
20,1.3000,-2.1374
20,1.2980,-2.0948
20,1.2960,-2.0538
20,1.2940,-1.9815
20,1.2920,-1.9169
20,1.2900,-1.8242
20,1.2880,-1.7483
20,1.2860,-1.6555
20,1.2840,-1.5601
20,1.2820,-1.4626
20,1.2800,-1.3522
20,1.2780,-1.2464
20,1.2760,-1.1421
20,1.2740,-1.0499
20,1.2720,-0.9416
20,1.2700,-0.8532
20,1.2680,-0.7642
20,1.2660,-0.6807
20,1.2640,-0.6064
20,1.2620,-0.5312
20,1.2600,-0.4755
20,1.2580,-0.4136
20,1.2560,-0.3565
20,1.2540,-0.3103
20,1.2520,-0.2702
20,1.2500,-0.2324
20,1.2480,-0.1963
20,1.2460,-0.1763
20,1.2440,-0.1525
20,1.2420,-0.1303
20,1.2400,-0.1133
20,1.2380,-0.1044
20,1.2360,-0.0907
20,1.2340,-0.0783
20,1.2320,-0.0767
20,1.2300,-0.0624
20,1.2280,-0.0648
20,1.2260,-0.0595
20,1.2240,-0.0505
20,1.2220,-0.0470
20,1.2200,-0.0481
20,1.2180,-0.0534
20,1.2160,-0.0514
20,1.2140,-0.0507
20,1.2120,-0.0454
20,1.2100,-0.0430
20,1.2080,-0.0479
20,1.2060,-0.0419
20,1.2040,-0.0429
20,1.2020,-0.0443
20,1.2000,-0.0450
20,1.1980,-0.0528
20,1.1960,-0.0461
20,1.1940,-0.0417
20,1.1920,-0.0486
20,1.1900,-0.0514
20,1.1880,-0.0411
20,1.1860,-0.0475
20,1.1840,-0.0450
20,1.1820,-0.0486
20,1.1800,-0.0429
20,1.1780,-0.0421
20,1.1760,-0.0395
20,1.1740,-0.0465
20,1.1720,-0.0372
20,1.1700,-0.0527
20,1.1680,-0.0423
20,1.1660,-0.0436
20,1.1640,-0.0491
20,1.1620,-0.0408
20,1.1600,-0.0489
20,1.1580,-0.0427
20,1.1560,-0.0424
